id,tariffClassId,month,year,rate
1,1,1,2021,56.79
2,2,1,2021,56.79
3,3,1,2021,50.79
4,4,1,2021,54.79
5,5,1,2021,61.53
6,6,1,2021,55.88
7,7,1,2021,55.88
8,8,1,2021,60.56
9,9,1,2021,54.98
10,10,1,2021,54.98
11,11,1,2021,56.91
12,12,1,2021,41.21
13,13,1,2021,41.2
14,14,1,2021,41.2
15,15,1,2021,46.64
16,16,1,2021,46.64
17,17,1,2021,41.2
18,18,1,2021,41.2
19,19,1,2021,46.64
20,20,1,2021,46.64
21,21,1,2021,41.2
22,22,1,2021,41.2
23,23,1,2021,46.64
24,24,1,2021,46.64
25,25,1,2021,4
26,26,1,2021,41.2
27,27,1,2021,41.2
28,28,1,2021,46.64
29,29,1,2021,46.64
30,30,1,2021,41.21
31,31,1,2021,41.21
32,32,1,2021,46.64
33,33,1,2021,46.64
34,34,1,2021,41.21
35,35,1,2021,41.21
36,36,1,2021,46.64
37,37,1,2021,46.64
38,38,1,2021,41.21
39,39,1,2021,41.21
40,40,1,2021,46.64
41,41,1,2021,46.64
42,42,1,2021,4
43,43,1,2021,41.21
44,44,1,2021,41.21
45,45,1,2021,46.64
46,46,1,2021,46.64
47,47,1,2021,46.64
48,1,2,2021,56.79
49,2,2,2021,56.79
50,3,2,2021,50.79
51,4,2,2021,54.79
52,5,2,2021,61.53
53,6,2,2021,55.88
54,7,2,2021,55.88
55,8,2,2021,60.56
56,9,2,2021,54.98
57,10,2,2021,54.98
58,11,2,2021,56.91
59,12,2,2021,41.21
60,13,2,2021,41.2
61,14,2,2021,41.2
62,15,2,2021,46.64
63,16,2,2021,46.64
64,17,2,2021,41.2
65,18,2,2021,41.2
66,19,2,2021,46.64
67,20,2,2021,46.64
68,21,2,2021,41.2
69,22,2,2021,41.2
70,23,2,2021,46.64
71,24,2,2021,46.64
72,25,2,2021,4
73,26,2,2021,41.2
74,27,2,2021,41.2
75,28,2,2021,46.64
76,29,2,2021,46.64
77,30,2,2021,41.21
78,31,2,2021,41.21
79,32,2,2021,46.64
80,33,2,2021,46.64
81,34,2,2021,41.21
82,35,2,2021,41.21
83,36,2,2021,46.64
84,37,2,2021,46.64
85,38,2,2021,41.21
86,39,2,2021,41.21
87,40,2,2021,46.64
88,41,2,2021,46.64
89,42,2,2021,4
90,43,2,2021,41.21
91,44,2,2021,41.21
92,45,2,2021,46.64
93,46,2,2021,46.64
94,47,2,2021,46.64
95,1,3,2021,56.79
96,2,3,2021,56.79
97,3,3,2021,50.79
98,4,3,2021,54.79
99,5,3,2021,61.53
100,6,3,2021,55.88
101,7,3,2021,55.88
102,8,3,2021,60.56
103,9,3,2021,54.98
104,10,3,2021,54.98
105,11,3,2021,56.91
106,12,3,2021,41.21
107,13,3,2021,41.2
108,14,3,2021,41.2
109,15,3,2021,46.64
110,16,3,2021,46.64
111,17,3,2021,41.2
112,18,3,2021,41.2
113,19,3,2021,46.64
114,20,3,2021,46.64
115,21,3,2021,41.2
116,22,3,2021,41.2
117,23,3,2021,46.64
118,24,3,2021,46.64
119,25,3,2021,4
120,26,3,2021,41.2
121,27,3,2021,41.2
122,28,3,2021,46.64
123,29,3,2021,46.64
124,30,3,2021,41.21
125,31,3,2021,41.21
126,32,3,2021,46.64
127,33,3,2021,46.64
128,34,3,2021,41.21
129,35,3,2021,41.21
130,36,3,2021,46.64
131,37,3,2021,46.64
132,38,3,2021,41.21
133,39,3,2021,41.21
134,40,3,2021,46.64
135,41,3,2021,46.64
136,42,3,2021,4
137,43,3,2021,41.21
138,44,3,2021,41.21
139,45,3,2021,46.64
140,46,3,2021,46.64
141,47,3,2021,46.64
142,1,4,2021,56.79
143,2,4,2021,56.79
144,3,4,2021,50.79
145,4,4,2021,54.79
146,5,4,2021,61.53
147,6,4,2021,55.88
148,7,4,2021,55.88
149,8,4,2021,60.56
150,9,4,2021,54.98
151,10,4,2021,54.98
152,11,4,2021,56.91
153,12,4,2021,41.21
154,13,4,2021,41.2
155,14,4,2021,41.2
156,15,4,2021,46.64
157,16,4,2021,46.64
158,17,4,2021,41.2
159,18,4,2021,41.2
160,19,4,2021,46.64
161,20,4,2021,46.64
162,21,4,2021,41.2
163,22,4,2021,41.2
164,23,4,2021,46.64
165,24,4,2021,46.64
166,25,4,2021,4
167,26,4,2021,41.2
168,27,4,2021,41.2
169,28,4,2021,46.64
170,29,4,2021,46.64
171,30,4,2021,41.21
172,31,4,2021,41.21
173,32,4,2021,46.64
174,33,4,2021,46.64
175,34,4,2021,41.21
176,35,4,2021,41.21
177,36,4,2021,46.64
178,37,4,2021,46.64
179,38,4,2021,41.21
180,39,4,2021,41.21
181,40,4,2021,46.64
182,41,4,2021,46.64
183,42,4,2021,4
184,43,4,2021,41.21
185,44,4,2021,41.21
186,45,4,2021,46.64
187,46,4,2021,46.64
188,47,4,2021,46.64
189,1,5,2021,56.79
190,2,5,2021,56.79
191,3,5,2021,50.79
192,4,5,2021,54.79
193,5,5,2021,61.53
194,6,5,2021,55.88
195,7,5,2021,55.88
196,8,5,2021,60.56
197,9,5,2021,54.98
198,10,5,2021,54.98
199,11,5,2021,56.91
200,12,5,2021,41.21
201,13,5,2021,41.2
202,14,5,2021,41.2
203,15,5,2021,46.64
204,16,5,2021,46.64
205,17,5,2021,41.2
206,18,5,2021,41.2
207,19,5,2021,46.64
208,20,5,2021,46.64
209,21,5,2021,41.2
210,22,5,2021,41.2
211,23,5,2021,46.64
212,24,5,2021,46.64
213,25,5,2021,4
214,26,5,2021,41.2
215,27,5,2021,41.2
216,28,5,2021,46.64
217,29,5,2021,46.64
218,30,5,2021,41.21
219,31,5,2021,41.21
220,32,5,2021,46.64
221,33,5,2021,46.64
222,34,5,2021,41.21
223,35,5,2021,41.21
224,36,5,2021,46.64
225,37,5,2021,46.64
226,38,5,2021,41.21
227,39,5,2021,41.21
228,40,5,2021,46.64
229,41,5,2021,46.64
230,42,5,2021,4
231,43,5,2021,41.21
232,44,5,2021,41.21
233,45,5,2021,46.64
234,46,5,2021,46.64
235,47,5,2021,46.64
236,1,6,2021,56.79
237,2,6,2021,56.79
238,3,6,2021,50.79
239,4,6,2021,54.79
240,5,6,2021,61.53
241,6,6,2021,55.88
242,7,6,2021,55.88
243,8,6,2021,60.56
244,9,6,2021,54.98
245,10,6,2021,54.98
246,11,6,2021,56.91
247,12,6,2021,41.21
248,13,6,2021,41.2
249,14,6,2021,41.2
250,15,6,2021,46.64
251,16,6,2021,46.64
252,17,6,2021,41.2
253,18,6,2021,41.2
254,19,6,2021,46.64
255,20,6,2021,46.64
256,21,6,2021,41.2
257,22,6,2021,41.2
258,23,6,2021,46.64
259,24,6,2021,46.64
260,25,6,2021,4
261,26,6,2021,41.2
262,27,6,2021,41.2
263,28,6,2021,46.64
264,29,6,2021,46.64
265,30,6,2021,41.21
266,31,6,2021,41.21
267,32,6,2021,46.64
268,33,6,2021,46.64
269,34,6,2021,41.21
270,35,6,2021,41.21
271,36,6,2021,46.64
272,37,6,2021,46.64
273,38,6,2021,41.21
274,39,6,2021,41.21
275,40,6,2021,46.64
276,41,6,2021,46.64
277,42,6,2021,4
278,43,6,2021,41.21
279,44,6,2021,41.21
280,45,6,2021,46.64
281,46,6,2021,46.64
282,47,6,2021,46.64
283,1,7,2021,56.79
284,2,7,2021,56.79
285,3,7,2021,50.79
286,4,7,2021,54.79
287,5,7,2021,61.53
288,6,7,2021,55.88
289,7,7,2021,55.88
290,8,7,2021,60.56
291,9,7,2021,54.98
292,10,7,2021,54.98
293,11,7,2021,56.91
294,12,7,2021,41.21
295,13,7,2021,41.2
296,14,7,2021,41.2
297,15,7,2021,46.64
298,16,7,2021,46.64
299,17,7,2021,41.2
300,18,7,2021,41.2
301,19,7,2021,46.64
302,20,7,2021,46.64
303,21,7,2021,41.2
304,22,7,2021,41.2
305,23,7,2021,46.64
306,24,7,2021,46.64
307,25,7,2021,4
308,26,7,2021,41.2
309,27,7,2021,41.2
310,28,7,2021,46.64
311,29,7,2021,46.64
312,30,7,2021,41.21
313,31,7,2021,41.21
314,32,7,2021,46.64
315,33,7,2021,46.64
316,34,7,2021,41.21
317,35,7,2021,41.21
318,36,7,2021,46.64
319,37,7,2021,46.64
320,38,7,2021,41.21
321,39,7,2021,41.21
322,40,7,2021,46.64
323,41,7,2021,46.64
324,42,7,2021,4
325,43,7,2021,41.21
326,44,7,2021,41.21
327,45,7,2021,46.64
328,46,7,2021,46.64
329,47,7,2021,46.64
330,1,8,2021,56.79
331,2,8,2021,56.79
332,3,8,2021,50.79
333,4,8,2021,54.79
334,5,8,2021,61.53
335,6,8,2021,55.88
336,7,8,2021,55.88
337,8,8,2021,60.56
338,9,8,2021,54.98
339,10,8,2021,54.98
340,11,8,2021,56.91
341,12,8,2021,41.21
342,13,8,2021,41.2
343,14,8,2021,41.2
344,15,8,2021,46.64
345,16,8,2021,46.64
346,17,8,2021,41.2
347,18,8,2021,41.2
348,19,8,2021,46.64
349,20,8,2021,46.64
350,21,8,2021,41.2
351,22,8,2021,41.2
352,23,8,2021,46.64
353,24,8,2021,46.64
354,25,8,2021,4
355,26,8,2021,41.2
356,27,8,2021,41.2
357,28,8,2021,46.64
358,29,8,2021,46.64
359,30,8,2021,41.21
360,31,8,2021,41.21
361,32,8,2021,46.64
362,33,8,2021,46.64
363,34,8,2021,41.21
364,35,8,2021,41.21
365,36,8,2021,46.64
366,37,8,2021,46.64
367,38,8,2021,41.21
368,39,8,2021,41.21
369,40,8,2021,46.64
370,41,8,2021,46.64
371,42,8,2021,4
372,43,8,2021,41.21
373,44,8,2021,41.21
374,45,8,2021,46.64
375,46,8,2021,46.64
376,47,8,2021,46.64
377,1,9,2021,56.79
378,2,9,2021,56.79
379,3,9,2021,50.79
380,4,9,2021,54.79
381,5,9,2021,61.53
382,6,9,2021,55.88
383,7,9,2021,55.88
384,8,9,2021,60.56
385,9,9,2021,54.98
386,10,9,2021,54.98
387,11,9,2021,56.91
388,12,9,2021,41.21
389,13,9,2021,41.2
390,14,9,2021,41.2
391,15,9,2021,46.64
392,16,9,2021,46.64
393,17,9,2021,41.2
394,18,9,2021,41.2
395,19,9,2021,46.64
396,20,9,2021,46.64
397,21,9,2021,41.2
398,22,9,2021,41.2
399,23,9,2021,46.64
400,24,9,2021,46.64
401,25,9,2021,4
402,26,9,2021,41.2
403,27,9,2021,41.2
404,28,9,2021,46.64
405,29,9,2021,46.64
406,30,9,2021,41.21
407,31,9,2021,41.21
408,32,9,2021,46.64
409,33,9,2021,46.64
410,34,9,2021,41.21
411,35,9,2021,41.21
412,36,9,2021,46.64
413,37,9,2021,46.64
414,38,9,2021,41.21
415,39,9,2021,41.21
416,40,9,2021,46.64
417,41,9,2021,46.64
418,42,9,2021,4
419,43,9,2021,41.21
420,44,9,2021,41.21
421,45,9,2021,46.64
422,46,9,2021,46.64
423,47,9,2021,46.64
424,1,10,2021,56.79
425,2,10,2021,56.79
426,3,10,2021,50.79
427,4,10,2021,54.79
428,5,10,2021,61.53
429,6,10,2021,55.88
430,7,10,2021,55.88
431,8,10,2021,60.56
432,9,10,2021,54.98
433,10,10,2021,54.98
434,11,10,2021,56.91
435,12,10,2021,41.21
436,13,10,2021,41.2
437,14,10,2021,41.2
438,15,10,2021,46.64
439,16,10,2021,46.64
440,17,10,2021,41.2
441,18,10,2021,41.2
442,19,10,2021,46.64
443,20,10,2021,46.64
444,21,10,2021,41.2
445,22,10,2021,41.2
446,23,10,2021,46.64
447,24,10,2021,46.64
448,25,10,2021,4
449,26,10,2021,41.2
450,27,10,2021,41.2
451,28,10,2021,46.64
452,29,10,2021,46.64
453,30,10,2021,41.21
454,31,10,2021,41.21
455,32,10,2021,46.64
456,33,10,2021,46.64
457,34,10,2021,41.21
458,35,10,2021,41.21
459,36,10,2021,46.64
460,37,10,2021,46.64
461,38,10,2021,41.21
462,39,10,2021,41.21
463,40,10,2021,46.64
464,41,10,2021,46.64
465,42,10,2021,4
466,43,10,2021,41.21
467,44,10,2021,41.21
468,45,10,2021,46.64
469,46,10,2021,46.64
470,47,10,2021,46.64
471,1,11,2021,56.79
472,2,11,2021,56.79
473,3,11,2021,50.79
474,4,11,2021,54.79
475,5,11,2021,61.53
476,6,11,2021,55.88
477,7,11,2021,55.88
478,8,11,2021,60.56
479,9,11,2021,54.98
480,10,11,2021,54.98
481,11,11,2021,56.91
482,12,11,2021,41.21
483,13,11,2021,41.2
484,14,11,2021,41.2
485,15,11,2021,46.64
486,16,11,2021,46.64
487,17,11,2021,41.2
488,18,11,2021,41.2
489,19,11,2021,46.64
490,20,11,2021,46.64
491,21,11,2021,41.2
492,22,11,2021,41.2
493,23,11,2021,46.64
494,24,11,2021,46.64
495,25,11,2021,4
496,26,11,2021,41.2
497,27,11,2021,41.2
498,28,11,2021,46.64
499,29,11,2021,46.64
500,30,11,2021,41.21
501,31,11,2021,41.21
502,32,11,2021,46.64
503,33,11,2021,46.64
504,34,11,2021,41.21
505,35,11,2021,41.21
506,36,11,2021,46.64
507,37,11,2021,46.64
508,38,11,2021,41.21
509,39,11,2021,41.21
510,40,11,2021,46.64
511,41,11,2021,46.64
512,42,11,2021,4
513,43,11,2021,41.21
514,44,11,2021,41.21
515,45,11,2021,46.64
516,46,11,2021,46.64
517,47,11,2021,46.64
518,1,12,2021,56.79
519,2,12,2021,56.79
520,3,12,2021,50.79
521,4,12,2021,54.79
522,5,12,2021,61.53
523,6,12,2021,55.88
524,7,12,2021,55.88
525,8,12,2021,60.56
526,9,12,2021,54.98
527,10,12,2021,54.98
528,11,12,2021,56.91
529,12,12,2021,41.21
530,13,12,2021,41.2
531,14,12,2021,41.2
532,15,12,2021,46.64
533,16,12,2021,46.64
534,17,12,2021,41.2
535,18,12,2021,41.2
536,19,12,2021,46.64
537,20,12,2021,46.64
538,21,12,2021,41.2
539,22,12,2021,41.2
540,23,12,2021,46.64
541,24,12,2021,46.64
542,25,12,2021,4
543,26,12,2021,41.2
544,27,12,2021,41.2
545,28,12,2021,46.64
546,29,12,2021,46.64
547,30,12,2021,41.21
548,31,12,2021,41.21
549,32,12,2021,46.64
550,33,12,2021,46.64
551,34,12,2021,41.21
552,35,12,2021,41.21
553,36,12,2021,46.64
554,37,12,2021,46.64
555,38,12,2021,41.21
556,39,12,2021,41.21
557,40,12,2021,46.64
558,41,12,2021,46.64
559,42,12,2021,4
560,43,12,2021,41.21
561,44,12,2021,41.21
562,45,12,2021,46.64
563,46,12,2021,46.64
564,47,12,2021,46.64
565,1,1,2022,56.79
566,2,1,2022,56.79
567,3,1,2022,50.79
568,4,1,2022,54.79
569,5,1,2022,61.53
570,6,1,2022,55.88
571,7,1,2022,55.88
572,8,1,2022,60.56
573,9,1,2022,54.98
574,10,1,2022,54.98
575,11,1,2022,56.91
576,12,1,2022,41.21
577,13,1,2022,41.2
578,14,1,2022,41.2
579,15,1,2022,46.64
580,16,1,2022,46.64
581,17,1,2022,41.2
582,18,1,2022,41.2
583,19,1,2022,46.64
584,20,1,2022,46.64
585,21,1,2022,41.2
586,22,1,2022,41.2
587,23,1,2022,46.64
588,24,1,2022,46.64
589,25,1,2022,4
590,26,1,2022,41.2
591,27,1,2022,41.2
592,28,1,2022,46.64
593,29,1,2022,46.64
594,30,1,2022,41.21
595,31,1,2022,41.21
596,32,1,2022,46.64
597,33,1,2022,46.64
598,34,1,2022,41.21
599,35,1,2022,41.21
600,36,1,2022,46.64
601,37,1,2022,46.64
602,38,1,2022,41.21
603,39,1,2022,41.21
604,40,1,2022,46.64
605,41,1,2022,46.64
606,42,1,2022,4
607,43,1,2022,41.21
608,44,1,2022,41.21
609,45,1,2022,46.64
610,46,1,2022,46.64
611,47,1,2022,46.64
612,1,2,2022,56.79
613,2,2,2022,56.79
614,3,2,2022,50.79
615,4,2,2022,54.79
616,5,2,2022,61.53
617,6,2,2022,55.88
618,7,2,2022,55.88
619,8,2,2022,60.56
620,9,2,2022,54.98
621,10,2,2022,54.98
622,11,2,2022,56.91
623,12,2,2022,41.21
624,13,2,2022,41.2
625,14,2,2022,41.2
626,15,2,2022,46.64
627,16,2,2022,46.64
628,17,2,2022,41.2
629,18,2,2022,41.2
630,19,2,2022,46.64
631,20,2,2022,46.64
632,21,2,2022,41.2
633,22,2,2022,41.2
634,23,2,2022,46.64
635,24,2,2022,46.64
636,25,2,2022,4
637,26,2,2022,41.2
638,27,2,2022,41.2
639,28,2,2022,46.64
640,29,2,2022,46.64
641,30,2,2022,41.21
642,31,2,2022,41.21
643,32,2,2022,46.64
644,33,2,2022,46.64
645,34,2,2022,41.21
646,35,2,2022,41.21
647,36,2,2022,46.64
648,37,2,2022,46.64
649,38,2,2022,41.21
650,39,2,2022,41.21
651,40,2,2022,46.64
652,41,2,2022,46.64
653,42,2,2022,4
654,43,2,2022,41.21
655,44,2,2022,41.21
656,45,2,2022,46.64
657,46,2,2022,46.64
658,47,2,2022,46.64
659,1,3,2022,56.79
660,2,3,2022,56.79
661,3,3,2022,50.79
662,4,3,2022,54.79
663,5,3,2022,61.53
664,6,3,2022,55.88
665,7,3,2022,55.88
666,8,3,2022,60.56
667,9,3,2022,54.98
668,10,3,2022,54.98
669,11,3,2022,56.91
670,12,3,2022,41.21
671,13,3,2022,41.2
672,14,3,2022,41.2
673,15,3,2022,46.64
674,16,3,2022,46.64
675,17,3,2022,41.2
676,18,3,2022,41.2
677,19,3,2022,46.64
678,20,3,2022,46.64
679,21,3,2022,41.2
680,22,3,2022,41.2
681,23,3,2022,46.64
682,24,3,2022,46.64
683,25,3,2022,4
684,26,3,2022,41.2
685,27,3,2022,41.2
686,28,3,2022,46.64
687,29,3,2022,46.64
688,30,3,2022,41.21
689,31,3,2022,41.21
690,32,3,2022,46.64
691,33,3,2022,46.64
692,34,3,2022,41.21
693,35,3,2022,41.21
694,36,3,2022,46.64
695,37,3,2022,46.64
696,38,3,2022,41.21
697,39,3,2022,41.21
698,40,3,2022,46.64
699,41,3,2022,46.64
700,42,3,2022,4
701,43,3,2022,41.21
702,44,3,2022,41.21
703,45,3,2022,46.64
704,46,3,2022,46.64
705,47,3,2022,46.64
706,1,4,2022,56.79
707,2,4,2022,56.79
708,3,4,2022,50.79
709,4,4,2022,54.79
710,5,4,2022,61.53
711,6,4,2022,55.88
712,7,4,2022,55.88
713,8,4,2022,60.56
714,9,4,2022,54.98
715,10,4,2022,54.98
716,11,4,2022,56.91
717,12,4,2022,41.21
718,13,4,2022,41.2
719,14,4,2022,41.2
720,15,4,2022,46.64
721,16,4,2022,46.64
722,17,4,2022,41.2
723,18,4,2022,41.2
724,19,4,2022,46.64
725,20,4,2022,46.64
726,21,4,2022,41.2
727,22,4,2022,41.2
728,23,4,2022,46.64
729,24,4,2022,46.64
730,25,4,2022,4
731,26,4,2022,41.2
732,27,4,2022,41.2
733,28,4,2022,46.64
734,29,4,2022,46.64
735,30,4,2022,41.21
736,31,4,2022,41.21
737,32,4,2022,46.64
738,33,4,2022,46.64
739,34,4,2022,41.21
740,35,4,2022,41.21
741,36,4,2022,46.64
742,37,4,2022,46.64
743,38,4,2022,41.21
744,39,4,2022,41.21
745,40,4,2022,46.64
746,41,4,2022,46.64
747,42,4,2022,4
748,43,4,2022,41.21
749,44,4,2022,41.21
750,45,4,2022,46.64
751,46,4,2022,46.64
752,47,4,2022,46.64
753,1,5,2022,56.79
754,2,5,2022,56.79
755,3,5,2022,50.79
756,4,5,2022,54.79
757,5,5,2022,61.53
758,6,5,2022,55.88
759,7,5,2022,55.88
760,8,5,2022,60.56
761,9,5,2022,54.98
762,10,5,2022,54.98
763,11,5,2022,56.91
764,12,5,2022,41.21
765,13,5,2022,41.2
766,14,5,2022,41.2
767,15,5,2022,46.64
768,16,5,2022,46.64
769,17,5,2022,41.2
770,18,5,2022,41.2
771,19,5,2022,46.64
772,20,5,2022,46.64
773,21,5,2022,41.2
774,22,5,2022,41.2
775,23,5,2022,46.64
776,24,5,2022,46.64
777,25,5,2022,4
778,26,5,2022,41.2
779,27,5,2022,41.2
780,28,5,2022,46.64
781,29,5,2022,46.64
782,30,5,2022,41.21
783,31,5,2022,41.21
784,32,5,2022,46.64
785,33,5,2022,46.64
786,34,5,2022,41.21
787,35,5,2022,41.21
788,36,5,2022,46.64
789,37,5,2022,46.64
790,38,5,2022,41.21
791,39,5,2022,41.21
792,40,5,2022,46.64
793,41,5,2022,46.64
794,42,5,2022,4
795,43,5,2022,41.21
796,44,5,2022,41.21
797,45,5,2022,46.64
798,46,5,2022,46.64
799,47,5,2022,46.64
800,1,6,2022,56.79
801,2,6,2022,56.79
802,3,6,2022,50.79
803,4,6,2022,54.79
804,5,6,2022,61.53
805,6,6,2022,55.88
806,7,6,2022,55.88
807,8,6,2022,60.56
808,9,6,2022,54.98
809,10,6,2022,54.98
810,11,6,2022,56.91
811,12,6,2022,41.21
812,13,6,2022,41.2
813,14,6,2022,41.2
814,15,6,2022,46.64
815,16,6,2022,46.64
816,17,6,2022,41.2
817,18,6,2022,41.2
818,19,6,2022,46.64
819,20,6,2022,46.64
820,21,6,2022,41.2
821,22,6,2022,41.2
822,23,6,2022,46.64
823,24,6,2022,46.64
824,25,6,2022,4
825,26,6,2022,41.2
826,27,6,2022,41.2
827,28,6,2022,46.64
828,29,6,2022,46.64
829,30,6,2022,41.21
830,31,6,2022,41.21
831,32,6,2022,46.64
832,33,6,2022,46.64
833,34,6,2022,41.21
834,35,6,2022,41.21
835,36,6,2022,46.64
836,37,6,2022,46.64
837,38,6,2022,41.21
838,39,6,2022,41.21
839,40,6,2022,46.64
840,41,6,2022,46.64
841,42,6,2022,4
842,43,6,2022,41.21
843,44,6,2022,41.21
844,45,6,2022,46.64
845,46,6,2022,46.64
846,47,6,2022,46.64
847,1,7,2022,56.79
848,2,7,2022,56.79
849,3,7,2022,50.79
850,4,7,2022,54.79
851,5,7,2022,61.53
852,6,7,2022,55.88
853,7,7,2022,55.88
854,8,7,2022,60.56
855,9,7,2022,54.98
856,10,7,2022,54.98
857,11,7,2022,56.91
858,12,7,2022,41.21
859,13,7,2022,41.2
860,14,7,2022,41.2
861,15,7,2022,46.64
862,16,7,2022,46.64
863,17,7,2022,41.2
864,18,7,2022,41.2
865,19,7,2022,46.64
866,20,7,2022,46.64
867,21,7,2022,41.2
868,22,7,2022,41.2
869,23,7,2022,46.64
