id,name
1,0
2,ABAVO
3,ABBI TOWN
4,ABIGBORODO
5,ABRAKA
6,ABRAKA TOWN
7,ABUDU-OGHADA
8,ADEBAYO
9,ADEJE
10,ADO
11,ADUWAWA
12,AFE-BABALOLA
13,AFIESERE
14,AFOKPELLA
15,AGAGA LAYOUT
16,AGBARHA
17,AGBARHO TOWN
18,AGBARHO/EKU
19,AGBEDE
20,AGBOR 6
21,AGBOR IRRUA
22,AGBOR TOWN
23,AGBOR-OBI
24,AGENEBODE
25,AGENEBODE TOWN
26,AGHOR
27,AGRIC/OLOPE
28,AIRPORT (COMMERCIAL)
29,AIRPORT ROAD
30,AJAMIMOGHA
31,AJEGUNLE
32,AJILOSUN
33,AKPAKPAVA COMMERCIAL
34,AKURE
35,AKURE-COMMERCIAL
36,ALADJA
37,ALAGBAKA
38,ALIFIKEDE
39,AMAI TOWN
40,AMUFI-COMMERCIAL
41,AMUKPE LOCAL
42,AMUKPE TOWN
43,ANDREW-WILSON
44,ANWAI
45,ARMY BARRACK
46,ARMY BARRACK (IKOYA)
47,ARUOGBA
48,ASABA ALLUMINIUM
49,ASABA -COMMERCIAL
50,ASABA ROAD
51,ASIN
52,ASORO
53,ATANI
54,AUCHI IKPESHI
55,AUCHI TOWN
56,AVIELE
57,AWOYEMI
58,AYEDUN
59,AYOGWIRI
60,BASIRI
61,BDPA
62,BENDEL ESTATE
63,BETA GLASS
64,CABINET
65,CAMPUS 3
66,CEMENT FACTORY
67,COLLEGE ROAD
68,COMMUNITY ROAD
69,COSTAIN
70,COUNTRY HOME
71,DSC
72,DUMEZ
73,DUMEZ ROAD
74,EASTERN METAL
75,EBOH-COMMERCIAL
76,ECN
77,EDJEBA
78,EDO-TEX
79,EFFURUN
80,EGBA
81,EGOR
82,EGORO
83,EGUADAIKEN
84,EHOR
85,EKAE
86,EKEHUAN CAMPUS
87,EKENWAN
88,EKETE
89,EKIADOLOR
90,EKPAN TOWN
91,EKPOMA TOWN
92,EKU TOWN
93,ELIZADE
94,EME-ORA
95,ENERHEN
96,ENWAN
97,ERINJE/IRELE
98,ESTATE
99,ESTATE-COMMERCIAL
100,ETETE
101,EVBUOABUOGUN
102,EVBUORIARIA
103,EVBUOTUBU
104,EVBUOTUBU/ASORO
105,EXPRESS
106,EXPRESS (AGBOR)
107,EXPRESS (AKURE)
108,EXPRESS (UGHELLI)
109,EXPRESS -ASABA
110,EXPRESS UROMI
111,EZENEI
112,FACTORY ROAD
113,FEDERAL HOUSING ESTATE
114,FEEDER 1
115,FEEDER 2
116,FEEDER 3
117,FEEDER 4
118,FGGC
119,FUGAR TOWN
120,FUTA
121,GANA
122,GARAGE (IKERE 1)
123,GOVERNANCE VILLA
124,GOVERNOR
125,GOVT. HOUSE
126,GRA
127,GRA (WARRI)
128,GRA-AUCHI
129,GRA-COMMERCIAL
130,GSM
131,GUINNESS
132,HEAD BRIDGE
133,HOUSING COMPLEX
134,IBILLO
135,IBUSA BY-PASS
136,IBUZOR
137,IDANRE ROAD
138,IDANRE TOWN
139,IDSL
140,IFON
141,IGARA TOWN
142,IGBANKE
143,IGBARA OKE
144,IGBATORO
145,IGBE ROAD
146,IGBIDI
147,IGEDE
148,IGIEDUMA COMMUNITY
149,IGUOBAZUWA
150,IGUOSA
151,IHAMA
152,IHOVBOR
153,IJAPO
154,IJERO TOWN
155,IJOKA
156,IJU
157,IJU/ITAOGBOLU TOWNSHIP
158,IKARE
159,IKERE
160,IKHUENIRO
161,IKPOBA-HILL-COMMERCIAL
162,ILAWE/ARAMOKO
163,ILE-OLUJI
164,ILESHA ROAD
165,ILLAH
166,INDUSTRIAL
167,IRRI
168,IRRUA
169,IRUEKPEN
170,ISE/EMURE
171,ISELE ASAGBA
172,ISELE-UKU
173,ISINKAN
174,ISOKO ROAD
175,ISOKO/KWALE
176,ISSELE-UKU
177,ISTH
178,ISUADA
179,IVIOGHE
180,IWOROKO/IKOLE 
181,IYOWA
182,JAGBE
183,JAKPA ROAD
184,JAMES HOPE
185,JATTU
186,JEDO
187,JEHOVAH'S WITNESS COMPLEX
188,KOKA COMMERCIAL
189,KOKO
190,KOKO TOWN
191,KOROBE
192,KWALE EXPRESS
193,KWALE TOWN
194,LAMPESE
195,LEVENTIS
196,MARBLE HILL
197,MARIA GORRETI
198,MARKET ROAD (ONDO)
199,MARKET ROAD (WARRI)
200,MBH  COMMERCIAL
201,Mc DERMOTT
202,MD COMMERCIAL
203,MEDICAL VILLAGE
204,MICHELLIN
205,MIX&BAKE -VIO -COMMERCIAL
206,MOSOGAR
207,NDDC
208,NEKPENEKPEN
209,NEW BENIN
210,NEW-AUCHI
211,NULL
212,OBA-ILE
213,OBAILE/REC
214,OBA-PALACE
215,OBAYANTOR
216,OBIARUKU TOWN
217,OBULUKU
218,ODA
219,ODO-ADO
220,ODOJOMU
221,OGBA
222,OGBEKNU-UMUOLO
223,OGBONA
224,OGHARA TEACHING HOSPITAL
225,OGHARA TOWN
226,OGORODE TOWN
227,OGUNU ROAD
228,OGWA-EBELE
229,OGWASHI-UKU
230,OGWASHI-UKU COMMERCIAL
231,OHA
232,OKA
233,OKADA
234,OKE-EDA
235,OKESHA
236,OKHORO
237,OKITIPUPA
238,OKO
239,OKOMU
240,Okotomi
241,OKPARA INLAND
242,OKPE
243,OKPELLA TOWN
244,OKPORIE
245,OKUREKPO
246,OKWE
247,OLD ROAD
248,OLEH
249,OLIHA
250,OLOGBO
251,OLOMORO
252,OLUKU
253,OLUKU-COMMERCIAL
254,ONDO
255,ONDO ROAD
256,ONICHA-UKU
257,OREROKPE TOWN
258,ORHUWHORUN ROAD
259,OSADENNIS
260,OSOSO
261,OTEFE
262,OTERI
263,OTOVWODO/PATANI
264,OTUN
265,OTUO TOWNSHIP
266,OUR LADY'S
267,OVA
268,OVWODOKPOKPO
269,OWA
270,OWA-ALERO
271,OWENA
272,OWHELOGBO
273,OWO
274,OWO TOWN
275,OYE TOWN
276,OYEMEKUN
277,PALACE
278,PS -COMMERCIAL
279,PTI
280,PTI ROAD
281,RADIO BENDEL
282,REFINERY 1
283,REFINERY 2
284,RESERVATION
285,ROYAL - COMMERCIAL
286,SAPELE (EFFURUN)
287,SAPELE (SAPELE)
288,SAPELE ROAD
289,SAPELE/WARRI ROAD
290,SCHOOL-COMMERCIAL
291,SHELL ROAD
292,SILUKO
293,SIO
294,SOUTH-IBIE
295,SPC
296,Specialist
297,ST. SAVIOUR
298,STANMARK
299,STEEL COMPANY 1
300,STEEL COMPANY 2
301,TOWNSHIP
302,TOWNSHIP-OKITIPUPA
303,UBEJI
304,UBIAJA
305,UBIAJA ROAD
306,UDU ROAD
307,UGBE
308,UGBOR
309,UGBORIKOKO
310,UGBOROKE
311,UGBOWO
312,UJAVUN TOWN
313,UJEMEN -COMMERCIAL
314,UMUNEDE
315,UMUTU
316,UniBen
317,UNIVERSITY
318,UPPER LAWANI
319,UPPER MISSION
320,UPPER OWINA
321,UPPER SAPELE
322,UPPER SILUKO
323,UPPER SOKPONBA
324,UROMI TOWN
325,USELU
326,USEN
327,Uteh 1
328,Uteh 2
329,UWANHUMI
330,UWELU
331,UZEBBA
332,UZERE
333,WARRAKE
334,WARRI
335,YABA-COMMERCIAL
